id	title	price	size	time	rating	reviews	features	cover	description
3645338632254241	1976 DEMO	0	503.8	1615601509.0	4	19	arcade,casual,fighting,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75234368_2876080989335149_3765099099946992581_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=79b88e&_nc_ohc=P49EGavm-MoAX8srmoI&_nc_ht=scontent.oculuscdn.com&tp=28&oh=c077dee88286d31d83c50101b8626e5e&oe=60C86FF7	Are you ready to travel back in time to 1943 and relive the excitement of classic arcade dogfights? Now, thanks to Virtual Reality, you’re about to discover a new level of immersion and spectacularity, while retaining the original essence and…
5324910297526899	Arcaxer Demo	0	648.0	1615360258.0	5	20	action,adventure,rpg,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974864_460506845136879_3085372585544270580_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=79b88e&_nc_ohc=faK4vIDTTTcAX_PNzkf&_nc_oc=AQmNWMkNC7eGAY3iSFiLwzNKOu3KRiXKS45CsZnwS-fdxxGSeBXfIXlT1ZaayBW7wZ4&_nc_ht=scontent.oculuscdn.com&tp=28&oh=b7562844c8ce0cca33684aa2df2e8027&oe=60C8426F	Arcaxer is a turn based VR RPG with first person action oriented combat, and a 3rd person god-view overworld set in a sci-fi simulation filled with colorful AI characters.<br>In the overworld you will explore procedural dungeons to find equips and…
4979055762136823	Gorilla Tag	0	151.5	1615593933.0	5	2140	action,casual,social,multiplayer	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974908_275484330576963_4702139486684747476_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=79b88e&_nc_ohc=nstxrm8UBcUAX8l8m0E&_nc_ht=scontent.oculuscdn.com&tp=28&oh=8041bc85dc881cf1f5060ec813d88985&oe=60C88995	Reject humanity.<br>Run, climb, and jump in VR using a unique locomotion method that only needs the movement of your hands and arms. No buttons, no sticks, no teleportation. Push off of surfaces to jump and squeeze them with both hands…
3366188196777460	Shinobi Breaker	14.99	119.3	1613196315.0	4	3	action,rpg,shooter,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75196218_953934498434307_1914422058514841591_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=79b88e&_nc_ohc=h5Bv5gNmC2sAX-wK1xe&_nc_ht=scontent.oculuscdn.com&tp=28&oh=46dfac0cbaf98a085fe1443e2e4b4e82&oe=60C82EEC	ShinobiBreaker is the next generation of the classic brick breaker + action game in VR adapted to Virtual Reality!<br>In this game, immersed in a geometrical cosmic atmosphere, accept the quest as a space ninja and defeat monsters that bring harms…
3603775183069078	Colorball	1.99	161.4	1615774679.0	5	3	arcade,puzzle,sports,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/39031336_171673054715154_3001140923280812921_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=79b88e&_nc_ohc=SiBKuEAUwaMAX868KGN&_nc_ht=scontent.oculuscdn.com&tp=28&oh=c900b453c8e821fde82a3132b95e4276&oe=60C7E9A1	COLORBALL is inspired by the timeless classic Bubble Shooter games where you match balls of the same color. VR offers a great way to interact with the balls to get the same colors together.<br>YOUR MISSION<br>catch and throw, smash, shoot, push,...…
3574006226045742	Eavor-Lite: Virtual Tour	0	883.0	1615931723.0	4	2	360 experience (non-game),single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/39035425_217275690075398_7078200720885235905_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=79b88e&_nc_ohc=la5eMJUagDMAX_cgYqz&_nc_oc=AQk4NgapKQAKrxkD_SguT6xu_3wH1COKhbGfCdXutjmfDAxNaJH9OIVP_u1_emS4h68&_nc_ht=scontent.oculuscdn.com&tp=28&oh=2bf7411c00ca9d3c326eb29b1f135010&oe=60C7FC8F	Guided by your friendly tour guide Jen, alongside Eavor’s Lead Engineer, Bailey Schwarz, and Chief Technology Officer Matt Toews, the experience can last minutes or hours, allowing participants to gain an increased understanding of Eavor and their game-changing technology.
5333524253326127	Virus Popper	0	259.6	1616049909.0	4	11	action,arcade,casual,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38982696_240908157621296_2866749240890440965_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=79b88e&_nc_ohc=yh5e0mgA5NUAX_GcuUY&_nc_ht=scontent.oculuscdn.com&tp=28&oh=b9f1c66fff18dbe06c2e88ddbce0c372&oe=60C7B587	Virus Popper is a fast-paced educational game about personal hygiene. We wanted to make a fun and friendly way to share important messages without adding to the fear and panic in the world right now.<br>WASH your hands in the sink…
3647163948685453	Tiny Castles	0	1761.28	1614857215.0	4	50	puzzle,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/38974684_2822750291297683_3928074425541225381_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=79b88e&_nc_ohc=cu_pRXZURl4AX8gPags&_nc_ht=scontent.oculuscdn.com&tp=28&oh=4d0bacf62e5f03788a35f75ea409bf72&oe=60C947A2	Tiny Castles is an "action puzzle game" built from the ground up using hand-tracking. It's an experimental project developed internally at Oculus to test necessary interactions for a hands-only game experience.<br>In the game, you play as a powerful god. The…
3428890110573488	Sky Squadron Beta	0	480.1	1615447790.0	4	26	action,flying,simulation,co-op,multiplayer,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/57568674_250785293120611_994289848680850565_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=79b88e&_nc_ohc=nq_TnOKQFvcAX_S3Hhk&_nc_ht=scontent.oculuscdn.com&tp=28&oh=b8dd8e37d95fd311dbaa59d984579892&oe=60C82092	Have you got what it takes to keep the skies safe from ruthless villains? Your island paradise is being invaded, and hot-shot Keith Koala needs to jump into the gunner’s seat and fight off some of the most menacing meanies…
4303589569670416	TripeaksDreamland VR	1.99	703.2	1615766198.0	4	24	arcade,casual,puzzle,single user	https://scontent.oculuscdn.com/v/t64.5771-25/q92/s720x720/75272209_126467542677360_5541563448576914792_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=79b88e&_nc_ohc=51Kta8nCiUMAX_pO16L&_nc_ht=scontent.oculuscdn.com&tp=28&oh=2c24a8649ba66389443f25ed0cfdb793&oe=60C9587A	Tripeaks Solitaire card game with beautiful graphics in VR!<br>features:<br>- Full Oculus Quest/Quest 2 VR-Controller support<br>- Three difficulties<br>- Smooth graphics<br>- online high scores<br>- 150 levels with different layouts<br>- 5 languages selectable (English, German, Spanish, Turkish, Polish)<br>Mp3 Dateien im Musik Ordner unter…
